Judul,Penulis,Pembimbing 1,Pembimbing 2,Abstrak,Prodi
"PERTANGGUNG JAWABAN HUKUM PEJABAT PEMBUAT KOMITMEN  
( PPK) AKIBAT MALADMINISTRASI DALAM  
TINDAK PIDANA KORUPSI ", MOCHAMAD SAICHU ," Dr. Nunuk Nuswardani S.H., M.H","Dr. Deni SB Yuherawan S.H., Msi ","Korupsi  tergolong ke dalam kejahatan  yang  luar biasa  (extra ordinary  crime). Korupsi 
yang  terjadi di  Indonesia saat  ini sudah dalam posisi yang sangat akut dan begitu mengakar 
dalam  setiap  sendi kehidupan. Perkembangan praktek korupsi dari  tahun  ke  tahun  semakin 
meningkat,  baik  dari  kuantitas  atau  jumlah  kerugian  keuangan  negara  maupun  dari  segi 
kualitas yang  semakin  sistematis, canggih  serta  lingkupnya  sudah meluas ke dalam  seluruh 
aspek masyarakat. Semua  sepakat untuk memberantas  tindak pidana korupsi namun  ?ialam 
pemberantasan  tersebut haruslah mengdepankan  tentang penegakan hukum dan menjunjung 
tinggi  kaidah-kaidah  hukum  yang  berlaku,  untuk  menegadili  seseorang  terdakwa  korupsi 
dapat  dilihat  terlebih  dahulu  peran  maupun  status  hukum  seseorang,  bilamana  seseorang 
tersebut  dala  kedudukan maupun  statusnya  dalam  suatu  jabatan  tertentu  sudah memenuhi 
atau  sudah  procedural  dalam  artian  tidak  cacat  hukum  maka  pejabat  tersebut  dalam 
kapasitasnya dapat dituntut secara hukum terhadap tindakan yang dilakukan khuusnya dalam 
tindak  pidana  korupsi  namun  âpabila  seseorang  pejabat  dalam  kapasitas,  maupun 
kedudukannya  tidak  prosedural  atau  cacat  hukum  maka  dilihat  terlebih  dahulu  kapasitas 
maupun kedudukannya tersebut dalam hukum administrasi karena sering kedudukan maupun 
kapasitas seorang pejabat yang cacat hukum akibat terjadinya maladministrasi sehingga demi 
kepastian  hukum  maka  apabila  seorang  pejabat  yang  melanggar  hukum  dalam 
pengangkatannya maka haruslah pejabat  tersebut diproses segala  tindakannya sesuai dengan 
hukum administrsi Negara terlebih dahulu.     
  Metode penelitian yang digunakan adalah jenis penelitian hukum normatif. Adapun yang 
dimaksud  dengan  jenis  penelitian  hukum  normatif  adalah  penelitian  yang  didasarkan  pada 
analisis  terhadap  bahan-bahan  kepustakaan  sebagai  sumber  data,  beberapa  asas  hukum  dan 
teori  hukum  serta  peraturan  Perundang-undangan  yang  sesuai  dengan  permasalahan  dalam 
Tesis.  Pendekatan  yang  digunakan  adalah  pendekatan  Perundang-undangan  (statute 
approach) dan  case  approach  (pendekatan kasus), yaitu melakukan pendekatan dengan  cara 
melakukan telaah, berkaitan dengan isu hukum yang dihadapi.  
  Pengangkatan  Pejabat  Pembuat  Komitmen  (PPK)  oleh  Kuasa  Pengguna  Anggaran 
(KPA) yang  tidak mempunyai kualifikasi dan  tidak kompeten sesuai dengan Perpres No. 54 
tahun  2010  tentang  pengadaan  barang  dan  jasa  merupakan  perbuatan  maladministrasi 
sedangkan  pengangkatan  Pejabat  Pembuat  Komitmen  (PPK)  yang  tidak  memenuhi 
kualifikasi  sesuai  dengan  Perpres No.  54  tahun  2010    tentang  Pengadaan Barang  dan  Jasa 
dapat dikenai sanksi administrasi hal tersebut dikarenakan Pejabat Pembuat Komitmen (PPK) 
âdalah  korban  maladministrasi  sehingga  kedudukan  Pejabat  Pembuat  Komitmen  (PPK)  
adalah cacat hukum  sehingga kedudukan Pejabat Pembuat Komitmen  (PPK)    tersebut  tidak 
bisa  dimintai  pertanggungjawaban  atas  perbuatan  yang  berkaitan  dengan  kedudukannya 
sebagai Pejabat Pembuat Komitmen (PPK).  ",24
KARAKTERISTIK KONTRAK PEMERINTAH PENGADAAN BARANG/JASA," nanang hariansah, SH"," Dr. DJULAEKA, SH., M.Hum","Dr. MURNI, SH., M.Hum","Kontrak pengadaan barang/jasa pemerintah adalah kontrak tertulis antara PPK dengan penyedia barang/jasa. Para pihak dalam kontrak hanya menjalankan aturan standart kontrak yang telah diatur dalam PERKA LKPP No. 14 Tahun 2012 Tentang Petunjuk Teknis Perpres No 70 Tahun 2012 Tentang Pengadaan Barang/Jasa Pemerintah tanpa adanya persesuaian kehendak. Kontrak pengadaan barang/jasa berbeda dengan kontrak pada umumnya karena dalam kontrak tersebut terdapat unsur hukum publik di dalamnya. 
Penelitian yang digunakan dalam penulisan ini adalah  penelitian  hukum normatif dengan menggunakan pendekatan perundang-undangan (statute approach) dan pendekatan konsep (conseptual approach). 
Dalam kontrak pengadaan barang/jasa unsur hukum publik  melebur (opplosing) dalam perbuatan hukum keperdataan, akan tetapi bukan tidak mungkin berbagai ketentuan hukum publik (Hukum Tata Usaha Negara) akan mempengaruhi peraturan hukum perdata. Dalam hal yang demikian maka PPK dapat melakukan tindakan sepihak (Beschiking). atas dasar kewenangannya PPK dapat menggunakan paksaan pemerintahan, atau menerapkan sanksi-sanksi hukum. Hal ini tentunya berpengaruh pada tindakan hukum terkait  pembatalan, perubahan, dan pemutusan kontrak, dalam kaitan ini perlu adanya perlindungan hukum terhadap penyedia.

Kata Kunci: Kontrak Pengadaan Barang/Jasa,Karakteristik,Perlindungan Hukum
",24
PEMBERHENTIAN TIDAK DENGAN HORMAT BAGI ANGGOTA KEPOLISIAN NEGARA REPUBLIK INDONESIA DALAM PELANGGARAN KODE ETIK, SOELISTIJONO," Dr. MUFARRIJUL IKHWAN, S.H., M.Hum.","Dr. NUNUK NUSWARDANI, S.H., M.H","ABSTRAKSI

PEMBERHENTIAN TIDAK DENGAN HORMAT BAGI ANGGOTA KEPOLISIAN NEGARA REPUBLIK INDONESIA DALAM
PELANGGARAN KODE ETIK
(Studi Kasus Putusan Sidang Banding Komisi Kode Etik Profesi Polri)

		Guna mewujudkan Good Governance dan Clean Government di internal Polri, penting sekali dilakukan upaya-upaya penggalian dan penelitian utamanya dalam meningkatkan dan memantapkan citra Polri sebagai penegak hukum.  Penelitian ini bertujuan untuk mengetahui dan menemukan argumentasi  berlakunya peraturan perundang-undangan dalam  pertimbangan Komisi Kode Etik pada pengambilan putusan nomor : Put. Banding / 06 / I / 2013 / Komisi Banding.
		Metode penelitian yang digunakan untuk mencapai tujuan penelitian ini adalah melalui penelitian yuridis normatif, dengan cara menghimpun bahan-bahan  hukum baik bahan hukum primer maupun bahan hukum sekunder yang berkaitan dengan pemberian sanksi Pemberhentian Tidak Dengan Hormat (PTDH) anggota Polri yang terbukti melakukan tindak pidana serta diskresi. Bahan-bahan hukum tersebut diperoleh melalui studi kepustakaan, buku-buku (treatises) hukum, artikel, jurnal hukum, internet, hasil seminar dan lain-lain.
Hasil penelitian ini mengkategorikan pertimbangan dalam putusan nomor : Put Banding / 06 / I / 2013 / Komisi Banding  sebagai argumentum ad hominem dan  argumentum ad misericordiam yang bersumber dari permohonan keringanan hukuman oleh Ankum. Sedangkan  permohonan keringanan oleh Ankum merupakan bentuk diskresi yang dilakukan oleh pejabat yang berwenang sesuai dengan Pasal 22 sampai dengan 24 UU 30/2014 Tentang Administrasi Pemerintahan, meskipun menyimpang dengan ketentuan dalam Putusan Banding nomor : Put Banding / 06 /I/2013 / Komisi Banding bertentangan dengan Peraturan Pemerintah No. 1 Tahun 2003 tentang Pemberhentian anggota Polri serta acara Pelaksanaanya yaitu Peraturan Kapolri Nomor 14 Tahun 2011 tentang Kode Etik Profesi Kepolisian Negara Republik Indonesia.
",24
KONSEP ANAK YANG BERKONFLIK DENGAN HUKUM DALAM UNDANG-UNDANG NOMOR 11 TAHUN 2012 TENTANG SISTEM PERADILAN PIDANA ANAK DALAM PERSPEKTIF PRINSIP RESTORATIF JUSTICE DAN DIVERSI," DIAH TRI SETIANINGSIH,S.H"," Dr. Deni SB Yuherawan,S.H.,MS ","Dr. Wartiningsih, S.H., Mhum ","Sistem Peradilan Pidana Anak saat ini telah mengalami perubahan yang sangat mendasar di dalam perundang-undangannya. Sistem Peradilan Pidana Anak pada awalnya lebih mencerminkan konsep retributive yang terkandung dalam nafas Undang-Undang Nomor 3 Tahun 1997 tentang Peradilan Anak (UU PA), saat ini telah diperbarui dengan Undang-Undang Nomor 11 Tahun 2012 Tentang Sistem Peradilan Pidana Anak (UU SPPA). UU SPAA memiliki keistimewaan dalam menyelesaikan perkara pidana terhadap anak, utamanya dalam menyelesaikan perkara terhadap anak yang berkonflik dengan hukum (pelaku).
Keistimewaan dalam Undang-Undang Sistem Peradilan Pidana tersebut adalah konsep restorative justice dan konsep diversi. dua konsep tersebut merupakan solusi terbaik dalam menyelesaikan perkara terhadap anak yang berkonflik dengan hukum agar benar-benar terhindar dari sistem peradilan formal. Namun nampaknya setelah diteliti ada beberapa ketentuan pasal yang menyebabkan konsep restorative justice dan diversi tersebut tidak dapat dilaksanakan dengan maksimal. Sehingga dapat disimpulkan bahwa penerapan konsep restorative justice dan diversi di dalam undang-undang sistem peradilan pidana anak (UU SPPA) belum dapat diterapkan secara sempurna sesuai dengan tujuan, cita-cita serta filosofi daripada lahirnya konsep restorative justice dan diversi tersebut.
",24
PENATAGUNAAN TANAH DALAM UPAYA OPTIMALISASI PENATAAN TATA RUANG WILAYAH, WAHYUDI," Dr. Mufarrijul Ikhwan, SH.,MHum","Dr. Indien Winarwati, SH.,MH","Keberadaan tanah merupakan hal yang sangat penting bagi negara dan masyarakat Indonesia dan pemanfatannya tidak dapat dilepaskan dari  perencanaan tata ruang yang ada di setiap wilayah. Konstitusi di Indonesia sudah sangat jelas mengatur yaitu tertera di dalam Pasal 33 ayat (3) UUD 1945.  Adapun  untuk mewujudkan reformasi agraria, Undang Undang Nomor 5 Tahun 1960 tentang Peraturan Dasar Pokok Pokok Agraria, LNRI Tahun 1960 Nomor 104-TLNRI Nomor 2043  sudah mengatur dengan jelas. 
Undang-Undang Nomor 26 tahun 2007 tentang Penataan Ruang pada Pasal 33 ayat (1) menyebutkan bahwa : Pemanfaatan ruang mengacu pada fungsi ruang yang ditetapkan dalam rencana tata ruang dilaksanakan dengan mengembangkan penatagunaan tanah, air, udara, dan penatagunaan sumber daya alam lainnya.  UUPR kemudian ditindaklanjuti dengan penataan ruang di tingkat wilayah provinsi dan di tingkat kabupaten/kota. Sebagai salah satu aplikasi untuk menindaklanjuti UUPR di wilayah provinsi adalah Peraturan Daerah Provinsi Jawa Timur Nomor 5 Tahun 2012 tentang Rencana Tata ruang Wilayah Provinsi Tahun 2011-2031. Ditingkat wilayah kabupaten, salah satunya adalah Peraturan Daerah kabupaten Bangkalan Nomor 10 Tahun 2009 tentang Rencana Tata Ruang Wilayah Kabupaten Bangkalan Tahun 2009-2029. Regulasi yang spesifik yang mengatur khusus tentang penatagunaan tanah adalah Peraturan Pemerintah Republik Indonesia Nomor 16 tahun 2004 tentang Penatagunaan Tanah. PP tersebut dalam konsideran menimbang disebutkan bahwa PP Nomor 16 Tahun 2004 sebagai aturan pelaksanaan dari UUPR.
Issu hukum dalam penelitian ini adalah terkait dengan pengaturan tentang keberlanjutan penatagunaan tanah sebagai pelaksanaan dari penataan tata ruang wilayah; dan efektifitas penataan tata ruang wilayah di bidang penatagunaan  tanah.
Adapun hasil penelitian yang diperoleh adalah Penatagunaan tanah, diatur dan diselenggarakan berdasarkan Rencana Tata Ruang Wilayah (RTRW) yang sebelumnya sudah ada dan diatur oleh regulasi yang dibuat baik di tingkat pemerintah pusat, provinsi, maupun pemerintah daerah kabupaten/kota. Pengaturan tentang penataan ruang di rumuskan di dalam Undang-Undang Nomor 26 tahun 2007 tentang Penataan Ruang, LNRI Tahun 2007 No. 68-TLNRI No. 4725. Terkait pengaturan lebih lanjut tentang penataan ruang di bidang penatagunaan tanah, kemudian disahkan Peraturan Pemerintah Nomor 16 tahun 2004 tentang Penatagunaan Tanah, LNRI Tahun 2004 No. 45-TLNRI No. 4385. Pengaturan tentang penatagunaan tanah di tingkat pemerintah pusat, ditindaklanjuti oleh pemerintah di tingkat Pemerintah Provinsi Jawa Timur dengan dikeluarkannya Peraturan Daerah Provinsi Jawa Timur Nomor  5 Tahun 2012 tentang  Rencana Tata Ruang Wilayah Provinsi Tahun 2011 – 2031. Perda Prov. Jatim. RTRW  merupakan pelaksanaan dari ketentuan Pasal 23 ayat (6) Undang-undang tentang Penataan Ruang (UUPR), akan tetapi Pemerintah Daerah Provinsi jawa Timur  belum memiliki regulasi yang mengatur khusus tentang penatagunaan tanah. Pemerintah Daerah Provinsi Jawa Timur  dalam rangka penatagunaan tanah, masih mengacu pada Peraturan Pemerintah Nomor 16 Tahun 2004 tentang Penatagunaan Tanah (PPPT). Kemudian di daerah Kabupaten ditindaklanjuti oleh Pemerintah Daerah Kabupaten Bangkalan dengan mensahkan Peraturan Daerah  Nomor 10 tahun 2009 tentang Rencana Tata Ruang Wilayah Kabupaten Bangkalan Tahun 2009 -2029. Di dalam konsideran menimbang, Perda Bangkalan. RTRW masih mengacu pada UUPR dan Perda  Prov. Jatim. RTRW dan juga belum ada norma yang mengatur khusus tentang penatagunaan tanah. Substansinya pengaturan khusus terkait dengan penatagunaan tanah, masih belum ada norma positif yang berkelanjutan dari tingkat pemerintah pusat sampai pada pemerintah daerah kabupaten.  
Hasil yang kedua adalah bahwa salah satu tujuan pembangunan nasional adalah terwujudnya ruang wilayah nasional yang aman, produktif, care terhadap masyarakat umum, dan berkelanjutan. Upaya untuk mendukung tujuan di atas, sangat diperlukan arah kebijakan dari pemerintah  yang bertanggung jawab dan dan berpandangan kerakyatan. Arah kebijakan pembangunan  di bidang penataan ruang, dapat dilihat dari berbagai perspektif, di antaranya pendekatan sistem, fungsi utama kawasan,  wilayah administratif, nilai strategis kawasan, dan pendekatan kegiatan kawasan. Kejelasan pendekatan tersebut sangat dibutuhkan untuk memelihara efektivitas, keserasian, keseimbangan, keselarasan, dan keterpaduan antara stakeholders yang ada untuk pembangunan nasional  di bidang penataan ruang khususnya  penatagunaan tanah.  Selain pelaksanaan pendekatan yang maksimal seperti di atas, yang perlu di perhatikan juga dalam upaya agar penataan ruang di bidang penatagunaan tanah dapat efektif dan berdaya guna adalah tentang tugas dan wewenang antara pemerintah pusat, provinsi, dan pemerintah kabupaten/kota.  Tugas dan wewenang ketiganya harus selaras, dan tidak tumpang tindih seperti halnya diatur di Pasal 7, 8, 9 UUPR (untuk pemerintah pusat),  Pasal 10 UUPR (untuk pemerintah provinsi), dan Pasal 11 UUPR (untuk pemerintah kabupaten/kota).
",24
Kewenangan Penangkapan Penyidik Kepolisian Negara  Republik Indonesia dan Penyidik Badan Narkotika Nasional, HERY KUSNANTO," DR. NUNUK NUSWARDANI,S.H.,M.H","DR. WARTININGSIH, S.H.,M.HUM","KEWENANGAN PENANGKAPAN PENYIDIK KEPOLISIAN NEGARA REPUBLIK INDONESIA DAN PENYIDIK BADAN NARKOTIKA NASIONAL  

Peraturan perundang-undangan yang mendukung upaya pemberantasan tindak pidana narkotika sangat diperlukan, apalagi tindak pidana narkotika merupakan salah satu bentuk kejahatan inkonvensional yang dilakukan secara sistematis, menggunakan modus operandi yang tinggi dan teknologi canggih serta dilakukan secara terorganisir (or ganizeci crime) dan sudah bersifat transnasional (transnasional crime). Tidak dapat dipungkiri memang bahwa kejahatan narkoba menimbulkan dampak yang sangat membahayakan baik terhadap masyarakat maupun terhadap masa depan bangsa dan negara.  Adanya wewenang Penyidik BNN yang demikian luas dalam penyidikan sebagaimana diatur dalam Pasal 7 Undang-Undang No. 35 Tahun 2009, maka wewenang BNN cenderung menyimpang dari asas-asas KUHAP maupun asas-asas universal yang berlaku selama ini dalam hukum pidana.

Permasalahan kewenangan ini bisa berpotensi menjadi polemik institusional yang patut menjadi perhatian, karena soal kewenangan menyangkut masalah gengsi institusional. Institusi dapat dianggap tidak mampu dan tidak cakap melaksanakan kekuasaan yang diberikan, bahkan dianggap tidak pernah memberikan akuntabilitas memadai sesuai dengan harapan masyarakat apalagi kewenangan ini menyangkut kekuasaan. Berkenaan dengan itu, penulis tertarik meneliti lebih lanjut persoalan kewenangan penyidik sebagaimana diatur dalam Undang-Undang No. 35 Tahun 2009 tentang Narkotika. Agar relevan dengan arah penelitian ini, maka penulis tetapkan judulnya sebagai berikut: “Kewenangan Penangkapan Penyidik Polri dan Penyidik BNN menurut UU No. 35 Tahun 2009 tentang Narkotika dan UU No. 8 Tahun 1981 tentang KUHAP dalam kewenangan Penangkapan”.Penelitian ini bertujuan Untuk mengetahui kewenangan lama waktu penangkapan oleh Penyidik Polri dan Penyidik BNN, Untuk mengetahui factor-faktor yang mempengaruhi lamanya penyidik dalam proses pembuktian Tindak Pidana Narkotika dan Untuk menjadi acuan Penyidik Polri dalam melakukan penangkapan dan jangan sampai praperadilan karena tidak sahnya penangkapan.

             Metode penelitian yang digunakan untuk mencapai tujuan penelitian ini adalah melalui penelitian yuridis normatif, dengan cara menghimpun bahan-bahan  hukum baik bahan hukum primer maupun bahan hukum sekunder yang berkaitan dengan Kewenangan Penangkapan Penyidik Kepolisian Negara Republik Indonesia dan Penyidik Badan Narkotika Nasional Menurut  UU Nomor 35 Tahun 2009 Tentang Narkotika dan UU Nomor 8 Tahun 1981 Tentang Kitab Undang –Undang Hukum Acara Pidana



Kewenangan penangkapan Penyidik Kepolisian Negara Republik Indonesia dan Penyidik Badan Narkotika Nasional. Kewenangan Penyidik Polri diatur dalam KUHAP, sedangkan kewenangan Penyidik BNN diatur dalam UU No. 39 Tahun 2009. Kewenangan Penyidik Polri dalam melakukan penyidikan kasus penyalahgunaan dan peredaran gelap narkotika sangat terbatas jika dibandingkan dengan kewenangan Penyidik BNN berkaitan dengan batasan waktu yaitu sehari atau 1 x 24 jam untuk Penyidik Polri dan tiga hari atau 3 x 24 jam yang masih memungkinkan diperpanjang. Keahlian khusus dalam hal pemahaman mengenai narkotika yang tidak dipunyai oleh Penyidik Polri bila dibandingkan dengan Penyidik BNN menambah rentan hasil penanganan Penyidik Polri untuk diajukan  praperadilan.

Penyelesaian adanya dua peraturan perundang-undangan dalam penerapan penangkapan terhadap tersangka Tindak Pidana Narkotika, oleh Penyidik Polri dan Penyidik BNN dilakukan untuk menghindari semakin buruknya hubungan kedua belah pihak, proses penyidikan lewat ”satu pintu/koordinasi”, agar semua data tentang proses penyidikan tidak tersebar di berbagai instansi tetapi tercatat (terdokumentasi/ terinventarisasi) di satu badan/lembaga agar memudahkan koordinasi, pengawasaan dan monitoring”.
",24
"PERAN BADAN PERMUSYAWARATAN DESA (BPD)
DALAM  PENYUSUNAN DAN PENETAPAN PERATURAN DESA", Ach. Fauzan," Dr. Nunuk Nuswardani, SH., MH.","Dr. Indien Winarwati, SH., MH.","Badan Perwakilan Desa (BPD) yang ada selama ini berubah namanya menjadi Badan Permusyawaratan Desa sebagai wujud dari demokrasi dan Otonomi Desa. BPD berfungsi menetapkan Peraturan Desa bersama Kepala Desa, menampung dan menyalurkan spirasi masyarakat, oleh karenanya BPD sebagai badan permusyawaratan yang berasal dari masyarakat desa, disamping menjalankan fungsinya sebagai jembatan penghubung antara Kepala Desa dengan masyarakat desa, juga harus menjalankan fungsi utamanya yakni fungsi representasi.Permasalahan yang dikaji dalam penelitian ini adalah : (1) Apakah   peran   Badan Permusyawaratan Desa  (BPD)   sudah sesuai dengan PP No. 43 Tahun 2014 tentang Desa. (2) Upaya  apa  yang dapat dilakukan dalam memaksimalkan Peran Badan Permusyawaratan Desa (BPD) dalam Penyusunan dan Penetapan Peraturan Desa. Penelitian ini bertujuan : (1) Mendiskripsikan peran Badan Permusyawaratan Desa sebagai implementasi dari pelaksanaan PP 43 2014. (2) mendiskripsikan langkah-langkah yang dilakukan untuk mengatasi kendala-kendala pelaksanaan fungsi legeslasi oleh BPD di Kabupaten Sumenep. (2). Mendiskripsikan kendala-kendala dan upaya yang dilakukan dalam mengatasi kendala dalam pelaksaan peran BPD dalam penyusunan dan penetapan Perdes. Metode penelitian ini menggunakan pendekatan peraturan perundang-undangan (statute aproach) dan pendekatan kasus (case aproach) yang dilakukan untuk menganalisa hukum yang berupa perangkat peraturan perundang-undangan yang belaku serta prilaku yang menggejala dan mempola dalam kehidupan masyarakat. Hasil penelitian menunjukkan bahwa dalam proses penyusunan dan penetapan Peraturan Desa sudah dilakukan melalui tahapan-tahapan yang benar dan telah sesuai dengan Undang-Undang No. 06 Tahun 2014 juncto Peraturan Pemerintah No. 43 Tahun 2014 Tentang Desa, yakni melalui tahap inisiasi, sosio-politis dan yuridis.Simpulan dari hasil penelitian ini adalah bahwa BPD dalam melaksanakan fungsi legeslasi yang proses penyusunan dan penetapan Peraturan Desa telah sesuai dengan Peraturan perundang-undangan yang ada, namun fungsi legeslasi BPD belum dapat berjalan secara maksimal, hal ini ditunjukkan dengan kurang komprehensipnya BPD di Kecamatan Giligenting Kabupaten Sumenep dalam membingkai peraturan-peraturan desa yang bersifat konvensional atau kebiasaan ke dalam bentuk peraturan tidak tertulis. Adapun langkah-langkah yang dilakukan untuk mengatasi kendala yakni secara Intern dan Ekstern . Sehingga saran yang diajukan dalam tesis ini adalah perlu adanya perhatian khusus dari Pemerintah Kabupaten serta perlu diadakannya pelatihan cara merancang dan menyusun Peraturan Desa bagi BPD dan Pemerintah Desa.

Kata Kunci : Badan Permusyawaratan Desa (BPD), Legal Decision Making, Peraturan Desa
",24
HUKUM YANG HIDUP DALAM MASYARAKAT DALAM RUU KUHP DAN IMPLIKASI YURIDIS TERHADAP HUKUM PIDANA DAN PERADILAN PIDANA, FAUSI, Dr DENI SETYA BAGUS YUHERAWAN SH MS,Dr WARTININGSIH SH MH,"RINGKASAN
Konsep ‘Hukum yang hidup dalam masyarakat’ yang terdapat dalam RUU KUHP merupakan pencerminan nilai-nilai kebudayaan suatu bangsa Indonesia secara penuh. Hukum pidana sudah seharusnya memperhatikan aspek yang berkaitan dengan kondisi manusia, alam dan tradisi yang sudah mengakar dalam budaya bangsa Indonesia. Seperti halnya hukum islam dan hukum adat yang sudah lama ada di kehidupan masyarakat bangsa Indonesia. Namun, Perlu dicermati dengan adanya hukum yang hidup dalam masyarakat muncul isu hukum yang perlu diteliti yaitu apakah makna dari ‘hukum yang hidup dalam masyarakat’ dan apakah implikasi yuridis dari konsep ‘hukum yang hidup dalam masyarakat’ terhadap hukum pidana dan peradilan pidana. Berdasarkan hal tersebut, Metode penelitian yang digunakan adalah metode penelitian hukum normatif dengan menggunakan pendekatan konseptual dan pendekatan historis. Hasil dari penelitian bahwa hukum yang hidup dalam masyarakat dirasakan sangat penting untuk dijadikan sebagai salah satu sumber hukum pidana Indonesia mengingat semakin beragam dan berkembangnya modus dan cara tindak pidana yang dilakukan. Namun pemberlakuan hukum yang hidup dalam masyarakat haruslah ada pedoman/kriteria/rambu-rambu dalam menentukan mana yang dianggap sebagai hukum yang hidup dalam masyarakat. Implikasi yuridis dari adanya hukum yang hidup dalam masyarakat yaitu, Pertama, sumber hukum pidana ada dua. Kedua, sulitnya dalam merekonstruksi perbuatan yang termasuk dalam tindak piadan yang melanggar. Ketiga, sulitnya penegakan hukum, karena selama ini hanya berpatokan pada peraturan perundang-undangan. Keempat, substansi saja tidak cukup untuk mencapat cita hukum harus berjalan bersama dan selaras dengan struktur dan budaya hukum.
",24
"PERKEMBANGAN ALAT BUKTI PERKARA PERDATA
DI ERA TEKNOLOGI INFORMASI ELEKTRONIK 
"," Enan Sugiarto, SH."," Dr. H. Moh. Amir Hamzah, S.H., M.H.","Dr. Uswatun Hasanah, S.H., M.Hum.","Setelah diterbitkannya Undang-undang Nomor 11 Tahun 2008 Tentang Informasi Dan Transaksi Elektronik, maka informasi elektronik dan/ dokumen elektronik dan/ hasil cetaknya dinyatakan sebagai perluasan alat bukti hukum yang sah sesuai dengan hukum acara yang berlaku di Indonesia. Kedudukan alat bukti yang diatur dalam ketentuan tersebut memunculkan pendapat yang berbeda, yaitu sebagai tambahan alat bukti dari yang sudah disebutkan secara limitatif dalam hukum acara, ataukah sebagai alat bukti pendamping yang harus didukung oleh alat bukti lain untuk menambah keyakinan hakim.
Penelitian ini merupakan penelitian normatif dengan pendekatan undang-undang (statute approach) dan pendekatan kasus (case approach) diantaranya dalam putusan perkara perdata Nomor 10/Pdt.G/2012/PN Sampang. Selanjutnya dilakukan analisis bahan hukum secara kualitatif dengan cara deduktif dengan asas-asas, serta memperhatikan sinkronisasi antara ketentuan peraturan hukum yang satu dengan ketentuan peraturan hukum yang lain, dan digunakan interpretasi hukum.
Dalam pemeriksaan perkara Nomor 10/Pdt.G/2012/PN Sampang, alat bukti berupa hasil cetak dokumen elektronik diterima dan memiliki kekuatan pembuktian sebagai alat bukti surat. Ruang lingkup sistem elektronik yang beroperasi dengan cara penggandaan sehingga mengakibatkan informasi yang asli tidak dapat dibedakan lagi dari salinannya memberi konsekuensi hukum bahwa hasil cetak dokumen elektronik dapat diterima sebagai alat bukti yang sah tanpa harus ditunjukan dokumen aslinya. Perkembangan teknologi informasi yang semakin pesat telah menuntut hukum acara perdata dapat mengakomodir bentuk-bentuk bukti baru sehingga pencari keadilan menjadi dipermudah dan diberi kesempatan optimal dalam menuntut maupun mempertahankan hak-haknya. Keterangan Ahli berkaitan dengan dokumen elektronik dan/ informasi elektronik yang diberikan dalam pemeriksaan perkara perdata memiliki kekuatan pembuktiannya bebas (vrij bewijskracht). Keterangan ahli tersebut dapat ditarik menjadi alat bukti persangkaan (vermoedens).
",24
"PENERAPAN HUKUM TERHADAP JUSTICE COLLABORATOR 
TERKAIT TINDAK PIDANA NARKOTIKA 
"," HERU SETIYADI,SH"," Dr. Eny Suastuti, S.H., Mhum","Dr.Boedi Mustiko, S.H., M.Hum","kejahatan Narkotika telah meningkat pada taraf yang sangat mengkhawatirkan karena dapat mengakibatkan merusak masa depan. Karena mempunyai efek negatif pada kesehatan fisik dan mental, kejahatan yang juga menciptakan kerusakan sosial, sehingga memiliki potensi besar untuk menghambat pembangunan nasional, baik secara material maupun spiritual. Hal tersebut menjadi sebuah masalah yang besar, yang pada gilirannya, akan mengalihkan perhatian pada sebuah stabilitas kemanan sehingga pembangunan nasional tidak terjadi sejalan dengan rencana nasional yang ditetapkan dalam alinea keempat UUD 1945 sebagai konstitusi nasional tertinggi.
Maka dibutuhkan metode yang tidak konvensional dalam penanganan dan penanggulangan bahaya dari peredaran Narkotika di seluruh wilayah Indonesia. Maka peran seorang Justice Collaborator (saksi pelaku yang bekerjasama) dalam hal ini menjadi sangat penting dan menjadi terobosan baru dalam mengungkap kejahatan Narkotika yang terjadi di Indonesia, sehingga pada nantinya penegakan hukum bisa dilakukan secara massif dan efektif. Namun dalam hal pengungkapan tindak pidana yang berkaitan dengan Narkotika ini, para penegak hukum harus memperhatikan dan memberikan perlindungan serta penghargaan yang setimpal kepada seorang Justice Collaborator (saksi pelaku yang bekerjasama) karena telah membantu pengungkapan sebuah kejahatan yang terorganisir.
",24
