Judul,Penulis,Pembimbing 1,Pembimbing 2,Abstrak,Prodi
Sifat Fisik dan Profil Gelatinisasi Tepung Uwi Ungu Termodifikasi Secara Fisik, Mojiono," Ir. Umi Purwandari, M.App.Sc., Ph.D","Burhan, S.TP., MT","Teknologi modifikasi pada tepung non konvensional memungkinkan menaikkan kemampuan subtitusi terhadap terigu pada produk roti dan manfaat fungsional. Tujuan penelitian ini adalah mempelajari perubahan sifat fisik dan profil gelatinisasi tepung uwi ungu yang dimodifikasi secara fisik. Metode modifikasi yang digunakan adalah hidrotermal annealing. Faktor penelitian adalah suhu (40, 45, 50, 55, 60°C) dan waktu (1, 6, 12, 18, dan 24 jam). Rancangan penelitian disusun menurut rancangan Central Composite Design pada Response Surface Methodology (RSM). Nilai WSI mengalami peningkatan hingga 64% pada kisaran suhu 45-50°C dan waktu 12-18 jam. Perlakuan suhu dan waktu di atas atau dibawah rentang perlakuan tersebut menghasilkan nilai yang WSI rendah hingga 58%. Sementara itu, nilai WAI paling rendah (8,75 g/g) diketahui terjadi pada kombinasi kisaran suhu 60°C dan waktu 1 jam. Kondisi tersebut juga terjadi pada kombinasi suhu 40°C dan waktu 24 jam. Perlakuan annealing tidak mengubah bentuk granula. Sementara itu, annealing menurunkan nilai peak viscosity, final viscosity secara berturut hingga 151 cP, 355 cP, dan menaikkan peak time hingga 13 menit. Peningkatan nilai peak time menunjukkan peningkatan stabilitas pati akibat pengaruh hidrotermal annealing.

Kata kunci: annealing, sifat fisik, profil gelatinisasi
",Teknologi Industri Pertanian
PENGARUH KONSENTRASI FLOKULAN (MAGNAFLOC LT 27 P) PADA NIRA TEBU SEGAR DAN NIRA TEBU WAYU HASIL PEMURNIAN NIRA CARA SULFITASI TERHADAP KUALITAS NIRA, Rudiyana Maf 'Ulah," Darimiyya Hidayati, S.TP. MP.","Ir. Muhammad Fakhry, MP.","Kualitas gula yang dihasilkan tergantung pada kualitas bahan baku tebu giling dan kualitas nira yang diperoleh dari proses pemurnian. Proses pemurnian nira diperlukan untuk membuang atau menghilangkan zat bukan gula yang terkandung dalam nira mentah, sehingga dihasilkan nira gula dengan kadar sukrosa yang tinggi dan jernih. Penambahan flokulan dapat mempercepat terjadinya pengendapan dalam menghasilkan nira jernih karena terjadi penyerapan endapan partikel-partikel kecil dari sekitarnya ke permukaan endapan. Penambahan flokulan harus memiliki dosis yang tepat agar berpengaruh terhadap proses pengendapan.Tujuan penelitian skripsi ini meliputi: 1. Mengetahui pengaruh konsentrasi flokulan terhadap kualitas nira jernih hasil pemurnian cara sulfitasi. 2. Mengetahui pengaruh tingkat kewayuan tebu terhadap kualitas nira jernih hasil pemurrnian cara sulfitasi. Metode pemurnian nira dilakukan dengan cara sulfitasi pada nira tebu segar dan nira tebu wayu (tebu ditunda 3 hari). Pada pemurnian nira cara sulfitasi pemanasan pertama dilakukan hingga suhu 75 ºC untuk ditambahkan susu kapur hingga pH 9 dan penambahan gas SO2 hingga pH mencapai 7,2. Pemanasan kedua dilakukan pada suhu 100 ºC kemudian pemanasan dihentikan untuk uji pengendapan. Uji pengendapan dilakukan dengan penambahan flokulan pada variasi konsentrai 0 ppm, 2 ppm, dan 4 ppm. nira jernih setelah uji pengendapan dianalisis kadar turbiditas, HK nira jernih, dan delta HK nira. Hasil penelitian menunjukkan bahwa konsentrasi flokulan berpengaruh nyata terhadap turbiditas nira jernih. Turbiditas tertinggi terdapat pada konsentrasi 0 ppm yaitu 38,17 ppm SiO2 dan terendah pada konsentrasi 4 ppm dengan kadar turbiditas 13,80 ppm SiO2. Waktu tunda giling tebu berpengaruh nyata terhadap HK dan delta HK nira. HK nira jernih tebu segar (96,98 %) lebih tinggi dibandingkan HK nira jernih dari tebu wayu 3 hari (88,71 %). Delta HK nira jernih tebu segar (8,30 %) lebih tinggi dibandingkan HK nira jernih dari tebu wayu 3 hari (1,91 %). Jadi, penundaan waktu giling tebu dapat menurunkan kualitas nira.

Kata kunci: pemurnian nira, kualitas nira, flokulan, dan proses sulfitasi.",Teknologi Industri Pertanian
Optimasi Penggunaan Tepung Labu Kuning dan Gum Arab pada Pembuatan Cup Cake, Indah Purnama Sari, Dr. Umi Purwandari,"Supriyanto, S.TP.,M.P","Program diversifikasi bahan pangan lokal diharapkan dapat menurunkan impor tepung terigu. Tepung labu kuning diharapkan bisa mensubstitusi tepung terigu dalam pembuatan cup cake, dan gum arab ditambahkan untuk memperbaiki sifat tekstural dan volume pengembangan cup cake. Penelitian ini bertujuan (i) untuk mengetahui pengaruh penggunaan tepung labu kuning dan gum arab, (ii) untuk mengetahui kondisi optimum dari kombinasi perlakuan yang digunakan. Metode Response Surface Methodology (RSM) dipilih untuk mengoptimalkan faktor-faktor yang berpengaruh terhadap kadar air, volume pengembangan, cohesiveness dan adhesiveness cup cake. Proporsi tepung labu kuning dan gum arab dirancang menggunakan desain Central Composite Rotate Design (CCRD) masing-masing 5 level, yakni konsentrasi tepung labu 0%, 10 %, 20%, 30%, 40%, dan konsentrasi gum arab 0%, 0,2%, 0,4%, 0,6%, 0,8%. Hasil penelitian menunjukkan penggunaan tepung labu dan gum arab yang tinggi cenderung menaikkan kadar air cup cake, namun pada penggunaan konsentrasi tepung labu yang rendah dan gum arab yang cukup tinggi memberikan hasil yang optimal untuk volume pengembangan, cohesiveness dan adhesiveness cup cake. Kadar air, volume pengembangan dan cohesiveness cup cake yang optimum dicapai pada kombinasi perlakuan tepung labu dan gum arab 20 % : 0,8 %, sedangkan sifat adhesiveness cup cake yang optimum dicapai pada kombinasi perlakuan tepung labu dan gum arab 10 % : 0,6 %, sehingga kondisi optimum penggunaan tepung labu dan gum arab pada pembuatan cup cake labu kuning berdasarkan keempat parameter tersebut dicapai dengan proporsi tepung labu dan gum arab 10 – 20 % : 0,6 – 0,8 %.


Kata kunci: tepung labu kuning, gum arab, cup cake, RSM",Teknologi Industri Pertanian
Kondisi Optimum Pembuatan Cup Cake Tersubstitusi Tepung Talas Dengan Penambahan Gum Arab, Ahmad Fawaid Kurniawan, Dr. Umi Purwandari,"Burhan S.TP, M.T","ABSTRAK
Bahan pangan lokal yang dapat mensubstitusi tepung terigu yang sangat potensial salah satunya talas yang dapat dijadikan tepung, karena memililki kandungan karbohidrat yang cukup tinggi. Tepung talas diharapkan bisa mensubstitusi tepung terigu dalam pembuatan cup cake, dan penambahan gum arab diharapkan dapat memperbaiki kekentalan/viskositas, tekstur, dan mempertahankan flavour cup cake.    Penelitian ini bertujuan (i) Mengetahui sifat kimia dan tekstural tepung talas (ii) Mengetahui pengaruh penggunaan tepung talas dan penambahan gum arab pada kadar air, volume cup cake dan sifat tekstural cup cake, (iii) Mengetahui kondisi optimal penggunaan tepung talas dan penambahan gum arab pada pembuatan cup cake . Metode Response Surface Methodology (RSM) dipilih untuk mengoptimalkan faktor-faktor yang berpengaruh terhadap parameter kadar air, volume cup cake, adhesiveness, cohesiveness, dan hardness. Proporsi tepung talas, dan gum arab, dirancang menggunakan desain Central Composite Rotatable Design (CCRD). Masing-masing 5 level, yakni proporsi tepung talas 0%, 10%, 20%, 30%, 40% dan proporsi gum arab 0%, 0,2%, 0,4%, 0,6%, dan 0,8%. Analisis data dilakukan menggunakan software minitab 14 model second order polinomial. Hasil penelitian menunjukkan bahwa tepung talas mempunyai komposisi kimia yaitu protein 7,81%, lemak 0,67%, amilosa 63,41%, amilopektin 1,36%, kalsium 90 mg/100g, phosfor 182 mg/100g, kalium 2,1 mg/100g, dan memiliki ukuran granula pati yang cukup besar (28,39 ?m) di bandingkan dengan terigu (20-22 µm) dan memiliki sifat gel yang tidak mudah pecah. Adhesiveness, hardness yang optimum pada kombinasi proporsi tepung talas (30% - 40%) dan konsentrasi gum arab (0% - 0,4%). Kadar air, volume cup cake optimum pada kombinasi proporsi tepung talas (0% - 20%) dan konsentarsi gum arab (0% - 0,5%), sedangkan sifat cohesiveness optimum pada proporsi kombinasi tepung talas (20% - 30%) dan konsentrasi gum arab (0,4% - 0,8%). Kondisi yang disarankan untuk hasil optimum dalam pembuatan cup cake talas yaitu 40 % tepung talas dan 0,5 % gum arab.

Kata Kunci: Tepung Talas, Cup Cake, Gum Arab, RSM
",Teknologi Industri Pertanian
ANALISIS FINANSIAL PADA PRODUKSI ROTI TAWAR MENGGUNAKAN SUBSTITUSI TEPUNG UWI UNGU (Dioscorea alata L. var purpurea), Mohammad Osidani Aji Wijaya," Banun Dyah Probowati S.TP, Msi",Dr. Umi Purwandari,"ABSTRAK


Roti tawar merupakan makanan yang populer, dengan bahan utama tepung terigu. Pembuatan roti tawar dengan pencampuran tepung uwi ungu sebagai bahan substitusi diharapkan menjadi satu inovasi produk baru, mengurangi penggunaan tepung terigu, meningkatkan penggunaan tepung lokal, dan menambah manfaat fungsional. Tujuan penelitian ini adalah mengkaji analisis finansial berdasarkan NPV, IRR, B/C ratio, BEP, PBP, dan sensitivitas. Metode yang digunakan dalam penelitian adalah metode full costing yang digunakan untuk penentuan harga pokok produksi. Bahan yang digunakan dalam penelitian ini adalah tepung terigu, tepung uwi ungu, gula, mentega, susu skim, gum arab, ragi, beaker bonus, garam, dan air. Hasil dari penelitian ini adalah NPV sebesar Rp 29.636.521,00, IRR sebesar 15 %, B/C ratio sebesar 1,11509, PBP sebesar 4,17 tahun, BEP sebesar 4.469 unit dan sensitivitas pada saat harga bahan naik 15 %, serta penurunan harga jual produk sebesar Rp 500,00. Kesimpulan dari penelitian ini adalah usaha pembuatan roti tawar uwi ungu layak untuk dilakukan.

Kata kunci: uwi ungu, roti tawar, kelayakan usaha.
",Teknologi Industri Pertanian
Formulasi Yogurt Sinbiotik Susu Kecipir dan Mucilage Uwi Ungu, Eko Suryo Firdaus, Dr. Umi Purwandari,"Iffan Maflahah S.TP, Msi","ABSTRAK
Formulasi yogurt sinbiotik susu kecipir dan mucilage uwi ungu, Eko Suryo Firdaus, Dr. Umi Purwandari dan Iffan Maflahah, S.TP., M.Si.
Yogurt merupakan makanan hasil fermentasi susu yang memanfaatkan aktivitas bakteri asam laktat yaitu Lactobacillus bulgaricus, Streptococcus thermophillus dan Bifidobacterium bifidum. Saat ini, bahan baku yogurt tidak hanya dari susu hewani namun juga memanfaatkan susu nabati. Dalam penelitian ini susu nabati yang digunakan untuk pembuatan yogurt yaitu susu kecipir. Kandungan gizi kecipir berupa protein 37,4% dan serat 12,5% per 100 gram biji. Pada pembuatan yogurt kecipir dilakukan penambahan bahan pembentuk tekstur yaitu carboxy methyl celulose (CMC) dan mucilage uwi ungu sebagai prebiotik yang diharapkan mampu menjadi produk yogurt nabati sinbiotik. Penelitian ini bertujuan untuk (i) Memformulasikan yogurt kecipir dengan bahan pembentuk tekstur (ii) Mengkaji penerimaan yogurt kecipir secara sensoris. Metode yang digunakan untuk memformulasikan yogurt kecipir yaitu Response Surface Method (RSM) dengan desain tiga variabel Box-Behnken dengan tiga level yakni proporsi mucilage uwi ungu 5%, 10%, 15%, proporsi CMC 0,1%, 0,2%, 0,3%, konsentrasi kultur 1,5%, 3%, 4,5% untuk memperoleh formulasi optimum terhadap nilai pH, viskositas, jumlah mikroorganisme, warna, aroma, rasa, tekstur dan kesukaan secara keseluruhan yogurt. Analisis data menggunakan  software minitab 16 dengan model second order polinominal. Hasil penelitian menunjukkan kadar fruktooligosakarida pada mucilage uwi ungu 5%, 10% dan 15% yaitu 2,14%, 2,62% dan 3,05%. Pengujian nilai pH yogurt kecipir berkisar antara 1,6 – 2,0. Pengujian viskositas yogurt berkisar 0,1–0,5 dpa.s. Pengujian jumlah mikroorganisme berkisar antara 1,34 x 107- 2,22 x 107 sel/mililiter. Secara sensoris panelis kurang suka terhadap aroma dan rasa yogurt kecipir karena adanya bau langu dan rasa sedikit pahit. Hasil uji optimasi yogurt kecipir memperoleh formulasi optimum pada kondisi pH, viskositas, jumlah mikroorganisme dan penerimaan secara sensoris pada proporsi mucilage 5%, CMC 0,2% dan konsentrasi kultur 1,5%.
Kata kunci : yogurt kecipir, sinbiotik, mucilage, CMC dan RSM
",Teknologi Industri Pertanian
"PENGARUH LABEL HALAL PADA KEMASAN
TERHADAP KEPUTUSAN PEMBELIAN PRODUK ES KRIM
", Nor Wulan Purnamasari," Sri Hastuti, SPt. MP","Burhan, STP. MT","Salah satu usaha dari produsen untuk meyakinkan konsumen bahwa produknya bebas dari bahaya hal yang diharamkan adalah dengan mencantumkan label halal pada kemasan produknya. Masyarakat sebagai konsumen harus berhati-hati dalam melakukan keputusan pembelian. Penelitian ini untuk mengetahui pengaruh adanya label halal terhadap keputusan pembelian produk es krim dengan menggunakan metode angket/kuesioner.  Populasi yang digunakan adalah mahasiswa Universitas Trunojoyo Madura berjumlah 4.460 orang yang diambil sebagai sampel dengan rumus Slovin. Teknik analisis data yaitu analisis deskriptif serta analisis kuantitatif seperti uji validitas dan reliabilitas, uji asumsi klasik, analisis regresi linear berganda dan uji hipotesis. Berdasarkan pengolahan data diperoleh persamaan linear Y = 5,583 + 0,198X1 + 0,267X2 + 0,451X3 + e, dimana variabel X1 (proses pembuatan), X2 (bahan utama) dan X3 (bahan tambahan) memiliki hubungan yang kuat dengan Y (keputusan pembelian) yang ditunjukkan dengan koef R bernilai 0,735. Secara simultan, X1, X2 dan X3 berpengaruh terhadap Y, namun secara parsial X2 tidak berpengaruh terhadap Y karena nilai thitung lebih kecil dibanding ttabel (1,903<1,9852). Variabel Y dipengaruhi X1, X2 dan X3 sebesar 52,5% sementara sisanya 47,5% dipengaruhi faktor lain. 

Kata kunci: label halal, keputusan pembelian
",Teknologi Industri Pertanian
Analisis Keseimbangan Lintasan Produksi Fillet Ikan Kakap Merah, Ratih Eka Sari," Burhan, STP. MT","Banun Diyah Probowati, STP. M.Si","ABSTRAK

Keseimbangan lintasan merupakan keseimbangan proses penempatan pekerjaan pada setiap stasiun kerja agar memiliki waktu operasi yang sama dan tidak ada waktu menganggur sehingga tercapailah efisiensi kerja yang tinggi. Keseimbangan lintasan diperlukan untuk merencanakan dan mengendalikan suatu aliran produksi, karena perusahaan dapat mengevaluasi dan memperbaiki lintasan produksi dengan tujuan untuk memaksimalkan efisiensi kerja guna  meminimalkan ketidakseimbangan (balance delay) dari lintasan produksi. Proses produksi fillet ikan di PT ILUFA sering mengalami kendala, yaitu terjadinya ketidakseimbangan pada lintasan produksi trimming dan mengakibatkan penumpukan bahan pada stasiun tersebut. Dalam penelitian ini menggunakan metode keseimbangan lintasan Kilbridge-Wester Heuristic dalam mengolah dan menganalisis data. Dengan metode tersebut akan diketahui proses fillet ikan  di PT ILUFA yang mengalami kemacetan yaitu pada stasiun kerja trimming yang waktu siklusnya rata-rata 4,96 detik dan seharusnya menjadi 1,25 detik, sehingga selisih waktu siklusnya untuk mencapai efisiensi yang baik yaitu 3,71 detik. Balance delay yang dihasilkan pada proses fillet ikan di PT ILUFA mengalami penurunan sebesar 25,38% (dari 74,61% menjadi 49,22%) dan efisiensi lintasan mengalami peningkatan sebesar 25,38% (dari 25,39% menjadi 50,77%) sehingga dapat dikatakan bahwa hasilnya sudah efisien.

Kata kunci: Keseimbangan Lintasan, Balance Delay, Efisiensi Lintasan",Teknologi Industri Pertanian
Analisis Finansial Pembuatan Minyak Atsiri Tembakau (Nicotiana tabacum), Ifan Fahrezi," Supriyanto, STP. MP","Banun Diyah Probowati, STP. M.Si","ABSTRAK

Produk tembakau yang selama ini dikenal hanya berupa rokok dan kemajuan perkembangan industri rokok sebetulnya banyak menimbulkan permasalahan ditinjau dari beragam aspek. Kerugian yang sangat jelas terlihat dari dampak rokok terhadap kesehatan, juga apabila ditinjau dari permasalahan para pekerja perusahaan rokok dengan petani seperti adanya gudang penimbunan tembakau, permainan harga, dan lain-lain. Alternatif diferensiasi produk minyak atsiri tembakau sangatlah menguntungkan untuk dikembangkan ditinjau dari aspek finansial. Tujuan dari penelitian ini adalah memperoleh hasil dari analisis financial berdasarkan NPV, IRR, net B/C ratio, BEP, dan Sensitivitas. Metode yang digunakan dalam penelitian ini adalah metode full costing yang digunakan untuk penentuan harga pokok produksi. Bahan yang digunakan dalam penelitian ini adalah tembakau, air, dan larutan dichkloromethan. Aspek finansial menggunakan metode NPV, IRR, net B/C ratio, BEP, dan Sensitivitas untuk menganalisis data menggunakan Microsoft excel. Hasil dari penelitian ini adalah diperoleh perhitungan finansial berupa NPV sebesar Rp 777.213.339,00, IRR sebesar 30 %, Net B/C ratio sebesar Rp 2,57, PBP sebesar 3,19 tahun, BEP sebesar 3.345 botol dan Sensitivitas pada saat harga tembakau naik Rp 60.000,00, Harga botol naik sebesar Rp 60.000,00, dan persentase pejualan turun sebesar 5 %. Kesimpulan dari penelitian ini adalah usaha pembuatan minyak atsiri tembakau (nicotiana tabacum) layak untuk dilakukan.  

Kata kunci: kelayakan usaha dan aspek finansial.
",Teknologi Industri Pertanian
Analisis Metode Kerja Pada Bagian Trimming (Studi Kasus di PT. ILUFA Beji Pasuruan), Anik Puji Hastutik," Iffan Maflahah, STP. M.Si","Millatul Ulya, STP. MT","ABSTRAK

Penerapan sistem semi-mekanik berpengaruh terhadap produktivitas. Trimming merupakan salah satu tahapan proses yang masih dilakukan secara manual. Tujuan dari penelitian ini adalah mengetahui waktu kerja dan gerakan karyawan bagian Trimming, mengetahui pengaruh pengurangan gerakan tidak efektif terhadap efisiensi waktu kerja. Metode yang digunakan dalam penelitian ini adalah dengan menggunakan studi gerak dan waktu. Pengolahan data dilakukan dengan membagi pekerjaan menjadi elemen-elemen gerakan, menyusun peta tangan kiri tangan kanan, menghitung waktu baku, waktu normal, keseragaman data, kecukupan data dan menganalisis elemen gerakan. Hasil dari penelitian ini adalah diperoleh perhitungan waktu baku metode kerja PT. ILUFA 60,69 detik, waktu normal 44,00dan standar output 58 fillet/jam. Perhitungan waktu baku metode kerja usulan 42,39 detik, waktu normal 30,74 dan standar output 83 fillet/jam. Metode kerja perusahaan belum sesuai dengan prinsip ekonomi gerakan jarak antara operator dengan peralatan masih terlalu jauh. Kesimpulan dari penelitian ini adalah metode kerja usulan lebih baik dibanding metode kerja perusahaan.  

Kata kunci: Metode kerja, waktu baku, waktu normal, standar uotput, ergonomi.
",Teknologi Industri Pertanian
