Judul,Penulis,Pembimbing 1,Pembimbing 2,Abstrak,Prodi
PENETAPAN UJROH DI PEGADAIAN SYARIAH BANGKALAN DALAM TINJAUAN HUKUM ISLAM, MUHAMMAD HENDRIK," H. ACH. MUS'IF, S.HI., MA",,,17
tinjauan hukum Islam terhadap penerapan denda DALAM AKAD 'ARIYAH (studi kasus di perpustakaan Universitas Trunojoyo Madura), nuruddin, shofiyun nahidloh,,"Transaksi pinjam meminjam buku diperpustakaan UTM dalam prakteknya menunjukkan beberapa hal yang memberatkan dan mengarah lebih menguntungkan sepihak. Hal ini dapat dilihat dari praktek pelaksanaan pinjam meminjam itu sendiri yang secara ketat menemukan adanya denda dalam akad ‘ariyah tersebut. Hal ini tentu akan merugikan pihak lain namun jika hal ini tidak dilakukan, maka pihak perpustakaan juga akan merasa dirugikan seperti kekurangan koleksi pada saat mahasiswa yang lain ingin meminjam buku tersebut. Kenyataan tersebut merupakan suatu permasalahan yang memerlukan pemecahan secara komprehensif. Rumusan masalah dalam penelitian ini yaitu bagaimana praktek pinjam meminjam buku di perpustakaan UTM dengan menerapkan denda ditinjau dari hukum Islam, maka perlu dikaji dan ditawarkan sebuah alternatif solusi atas permasalahan yang terjadi dengan melakukan penelitian tentang Tinjauan Hukum Islam terhadap Penerapan Denda Dalam Akad „ariyah.
Jenis penelitian ini adalah penelitian lapangan (field reseach) yaitu mengumpulkan data yang dilakukan dengan penelitian di tempat terjadinya segala yang diselidiki. Mengenai waktu dan tempat penelitian dilakukan di Desa Telang Kec. Kamal, Kab Bangkalan. Dalam penelitian ini menggunakan metode wawancara, observasi, dan purposive sampling guna menjawab permasalahan yang ada. Penelitian ini menghasilkan beberapa temuan, pertama pinjam meminjam buku dengan menerapkan denda di perpustakaan UTM adalah sah karena menggunakan transaksi pinjam meminjam dengan batas jangka waktu („ariyah muqayyad) sehingga apabila mahasiswa terlambat maka harus bertangung jawab Kedua, denda yang diterapkan menggunakan uang yaitu 200/buku, hal ini diperbolehkan dalam Islam berdasarkan prinsip d}aman al-„aqdi. Jadi mendenda dengan uang terhadap orang telah ingkarjanji dalam peikatan maka itu diperbolehkan.",17
Konversi Gadai Menjadi Nilai Daging Sapi Perspektif Mazhab Syafi'iyah (Studi Kasus Gadai Tanah di Desa Bujur Barat Kec. Batu Marmar Kab. Pamekasan Madura), Sumar Rohman," Shofiyun Nahidloh, S. Ag., M.HI",,"ABSTRAK
Gadai ini merupakan bagian dari praktik Muamalah yang melibatkan ar-Rahin walMurtahin. Gadai adalah kontrak yang memiliki nilai sosial yang tinggi, yang paling sering
pion dibuat dasar pada akal bantuan ofmutual (ta'awun). Pada dasarnya, pion membuat
harta sebagai jaminan untuk utang yang dapat digunakan dan akan kembali ke seperti
jumlah, atau sebagai melunasi ketika Robin gagal untuk membayar. Hal ini berbeda dengan
gadai di desa Bujur Barat, Batu Marmar Kecamatan, Kabupaten Pamekasan, yang
pion dipraktekkan oleh penghuni desa diubah menjadi nilai daging sapi.
Bidak konversi menjadi nilai daging sapi; tentu itu bukan
biasa yang terjadi dalam transaksi gadai. Jadi penulis ingin
mengungkap sepenuhnya dengan menggunakan Syafi'iyah perspektif sekte. Karena Syafi'iyah
pemikiran sekte telah digunakan oleh sebagian besar masyarakat Indonesia.
Penulis menggunakan metode penelitian kualitatif untuk mengungkap semua kejadian
di desa Bujur Barat. Penelitian kualitatif adalah penelitian yang bertujuan untuk
memahami dunia makna yang dilambangkan dalam perilaku masyarakat. Karakteristik
adalah penelitian alami dengan induktif dan metode verstehen, dan dengan deskriptif dan
Laporan naratif.
Berdasarkan hasil penelitian, dapat disimpulkan bahwa konversi gadai
transaksi menjadi nilai daging sapi menurut Syafi'iyah sekte yang diizinkan untuk
diperbolehkan. Karena dalam gadai memberikan kembali hal yang sama dengan
hal dikontrak adalah kewajiban.
Kata kunci: Syafi'iyah Sect, Gadai itu, ar-Rahin wal-Murtahin, Konversi Gadai
Menjadi Beef Nilai tanah",17
"TINJAUAN HUKUM ISLAM TERHADAP TRADISI PENGURANGAN TIMBANGAN DALAM PRAKTEK JUAL BELI TEMBAKAU 

(Studi Kasus Di Desa Tobai Tengah Kecamatan Sokobanah  Kabupaten Sampang Madura)
", RUMSIYAH," SHOFIUN NAHIDLOH,S.Ag.,M.HI",,"ABSTRAK
Timbangan merupakan jenis pengukuran barang, akan tetapi yang paling umum dalam perdagangan jual beli, jadi pedagang tembakau berperan penting dalam berantransaksi dengan menggunakan timbangan, karena semua pedagang tidak luput dari alat timbangan, trutama pedagang tembakau, sebagaimana yang terjadi di Desa Tobai Tengah Kecamatan Sokobanah Sampang ada beberapa pedagang yang mengurangi timbangan dalam praktek jual beli tembakau.
 Masalah yang diteliti dalam skripsi ini yaitu meliputi: Bagaimana Pelaksanaan Tradisi Pengurangan Timbangan Dalam Praktek Jual Beli Tembakau di Desa Tobai Tengah, dan Bagaimana Tinjauan Hukum Islam Terhadap Tradisi Pengurangan Timbangan Dalam Praktek Jual Beli Tembakau di Desa Tobai Tengah Kecamatan Sokobanah Sampang. Untuk mengindentifikasikan permasalahan tersebut penelitian ini menggunakan jenis penelitian kualitatif bersifat diskriptif, pengumpulan data menggunakan metode observasi, wawancara, dan dokumentasi. Dari hasil penelitian ditemukan bahwa praktek jual beli tembakau di Desa Tobai Tengah ini ada kecurangan yaitu pengurangan timbangan dalam praktek jual beli tembakau, sehingga ada salah satu pihak yang dirugikan dan di dalamnya mengandung unsur kedhaliman dan penipuan.
Berdasarkan hasil penelitian di atas dan hasil analisis bisa disimpulkan bahwa praktek jual beli tembakau di Desa Tobai Tengah Kecamatan Sokobanah Sampang, dalam tinjauan hukum Islam pengurangan timbangan dalam praktek jual beli tembakau merupakan salah bentuk yang tidak dibenarkan dalam Islam karena di dalamnya mengandung unsur penipuan dan kedhaliman terhadap milik orang lain, dan tidak mau bersikap adil dengan sesama.

Kata Kunci: Tradisi, timbangan, jual beli.     

",17
"PRAKTEK PERMODALAN BERSYARAT MENURUT HUKUM ISLAM
         (Studi Kasus Desa Palesanggar Kec. Pegantenan Kab. Pamekasan)
", Adam Malik," Shofiyun Nahidloh,S.Ag.,M.HI",,"ABSTRAK
	Skripsi ini adalah hasil penelitian yang berjudul “ PRAKTEK PERMODALAN BERSYARAT MENURUT HUKUM ISLAM” (Studi Kasus Desa Palesanggar Kecamatan Pegantenan Kabupaten Pamekasan) yang melatar belakangi dari judul skripsi ini, bahwasanya masyarakat desa Palesanggar mayoritas petani tembakau dengan tingkat ekonomi yang berbeda-beda sehingga kebutuhan sehari-hari tidak lepas dari campur tangan orang lain, sehingga pada waktu musim tembakau tidak semua petani bisa menanam tembakau bahkan banyak lahan-lahan yang kosong karena tidak mempunyai modal untuk mengisi lahannya sehingga di desa Palesanggar ada beberapa juragan tembakau yang memberikan modal kepada petani dengan syarat-syarat tertentu. 	
	Tujuan dari skripsi ini untuk mencapai rumusan masalah yaitu mendiskripsikan praktek permodalan bersyarat dan tinjauan hukum islam, dalam penelitian ini metode yang di pakai adalah metode kualitatif diskriptif yang hanya memaparkan situasi yang ada di lapangan, dengan tekhnik pengumpulan data secara editing, organizing dan yang terjadi populasinya adalah juragan selaku orang yang memberikan modal dan petani selaku orang yang membutuhkan modal.
	hasil penelitian menjelasakan bahwa praktek pemberian pinjaman kepada petani tembakau dengan syarat yang telah di sepakati  baik cara pemberian modal, pengajuan, dan pernyataan ijab dan qabul walaupu tidak secara implesit di ucapakan akan tetapi praktek tersebut sudah sesuai dengan hukum islam baik al-qur’an maupun Al-hadist karena praktek tersebut sudah menjadi tradisi yang baik yang sifatnya tolong menolong sesuai dengan firman Allah dalam surat Al-maidah ayat 2. “Dan tolong-menolonglah kamu dalam (mengerjakan) kebajikan dan takwa” , dan dalam akad tersebut tidak ada unsur paksaan.
 Kata kuncinya akad qiradh muqridl, muqtaridl, muqradl dan shiqhah.
",17
TINJAUAN HUKUM ISLAM TERHADAP JUAL BELI IKAN DENGAN SISTEM TAKSIRAN (Studi Kasus di Kecamatan Pasean Kabupaten Pamekasan), Moh Zainuddin," Shofiyun Nahidloh, S.Ag., M.HI",,"ABSTRAK

Skripsi ini adalah hasil penelitian yang berjudul “Tinjauan Hukum Islam Terhadap Jual Beli Ikan Dengan Sistem Taksiran (Studi Kasus Di Kecamatan Pasean Kabupaten Pamekasan)”. Yang melatar belakangi penulisan skripsi ini, Praktek jual beli ikan dengan menggunakan taksiran di Kacamatan Pasean Kabupaten Pamekasan, sudah lama diterapkan dan sudah menjadi tradisi bahkan sampai sekarang belum ada perubahan yang mungkin bisa lebih mengutamakan keadilan dan keuntungan kedua belah pihak yang berdasarkan Agama Islam.
Tujuan penelitian ini untuk mengetahui penerapan dan tinjauan hukum Islam terhadap jual beli ikan dengan sistem taksiran yang dilakukan oleh masyarakat Kecamatan Pasean Kabupaten Pamekasan. Dalam penelitian ini menggunakan pendekatan kualitatif, data yang diperoleh dengan cara wawancara, observasi, dan dokumentasi. Kemudian data tersebut dianalisis dengan analisis kualitatif diskriptif, selanjutnya seluruh data dicek keabsahannya.
Hasil penelitian ini menunjukkan bahwa, Praktek jual beli ikan dengan menggunakan taksiran di Kacamatan Pasean Kabupaten Pamekasan yaitu dengan menggunakan bak dan orang yang melakukan penaksiran adalah orang yang sudah ahli serta pembayarannya ditunda, karena sudah menjadi adat kebiasaan. Ditinjau dengan hukum Islam ternyata proses tersebut sah tidak menyalahi aturan, karena keadaan barang atau ikan sudah diketahui serta dilakukan atas dasar suka sama suka. Dengan demikian dari hasil penelitian yang dilakukan peneliti baik terhadap para nelayan maupun para juragan, maka dapat diketahui bahwa transaksi jual beli ikan dengan taksiran yang dilakukan di kecamatan Pasean merupakan jual beli yang sah.

Kata kunci: Jual Beli Ikan dan Taksiran.
",17
"TINJAUAN HUKUM ISLAM TERHADAP IMPLEMENTASI AKAD RAHN DALAM PEMBIAYAAN RAHN UNTUK MODAL USAHA
(Studi Kasus Koperasi Syariah Nuri Di Pamekasan)
", Irfa'ie Nahrawi," Ach. Mus'if, S.HI., MA",,"ABSTRAK

	Skripsi ini adalah hasil penelitian yang berjudul “Tinjauan Hukum Islam Terhadap Implementasi Akad Rahn Dalam Pembiayaan Rahn Untuk Modal Usaha” (Studi Kasus Koperasi Syariah Nuri di Pamekasan). Yang melatar belakangi penulisan ini adalah cara penarikan keuntungan (ujroh) yang diambil dari jumlah uang pinjaman nasabah yang diterapkan di Koperasi Syariah Nuri.
	Tujuan penulisan ini untuk mengetahui implementasi akad rahn dalam pembiayaan rahn untuk modal usaha, serta mengetahui tinjauan hukum Islam terhadap penarikan keuntungan dalam pembiayaan rahn untuk modal usaha di Koperasi Syariah Nuri.
	Dalam skripsi ini penulis mengunakan Metode penelitian kualitatif yang terdiri dari dua sumber data. Data primer yaitu sember langsung meliputi, pengurus Koperasi Syariah Nuri dan data sekunder yaitu sember pendukung meliputi, fatwa DSN-MUI. No. 25 dan No. 26.2002, Al-Quran Al-Hadis, buku fiqih muamalah serta sumber hukum Islam lainya. Dalam pengambillan data penulis mengunakan wawancara, dokumentasi, dan observasi.
	Hasil penelitaian menjelaskan implementasi akad Pembiayaan rahn  yang ada di Koperasi Syariah Nuri mengunakan Dua skema akad yaitu, akad rahn dan akad ijarah. Hal ini sesuai dengan fatwa DSN-MUI. No. 26 Ayat 4. Namun dalam penarikan ujroh di Koperasi Syariah Nuri tidak sesuai dengan fatwa DSN. Karena di Koperasi Syariah Nuri ujroh dilihat dari besar kecilnya pinjaman nasabah. Berdasarkan Fatwa DSN-MUI.No.25.2002 ayat 4 dan hadist Nabi yang diriwayatkan Harits bin Abi Usamah. Menjelaskan ujroh tidak boleh ditentukan berdasarkan jumlah pinjaman nasabah. Ujroh harus tetap berpatokan kepada taksiran awal barang jaminan.
Kata kunci : Akad Rahn, Rahin, Murtahin, Marhun Bih, Marhun Dan Ujroh
",17
"TINJAUAN HUKUM ISLAM TERHADAP  PERJANJIAN BAGI HASIL PENGELOLAHAN SAWAH (RONPARON)
(Studi Kasus Di Desa Larangan Tokol Kecamatan Tlanakan Kabupaten Pamekasan Madura)
", Ferry Nuri Ferdianto," Shofiyun Nahidloh, S.Ag., M. HI",,"Perjanjian ronparon yang dalam praktek fiqih muamalah disebut akad mukhabarah, mukharabah ialah akad bagi hasil dibidang pertanian antara pemilik sawah dengan pengelola, untuk sawahnya dikelola bercocok tanam dengan bibitnya dari pengelola, kemudian setelah panen tiba maka akan dibagi hasil pemilik sawah. Praktek ini dilakukan di Desa Larangan Tokol Kabupaten Pamekasan dalam prakteknya menunjukkan beberapa hal yang bisa mengarahkan lebih menguntungkan sepihak. 
 Rumusan masalah dalam penelitian yaitu bagaimana pelaksanaan perjajian bagi hasil pengolahan sawah di Desa Larangan Tokol Kabupaten Pamekasan dengan sistem akad mukhabarah dengan ditinjauan dari hukum Islam, maka perlu dikaji dan ditawarkan sebuah alternatif solusi atas permasalahan yang terjadi dengan melakukan penelitian tentang Tinjauan Hukum Islam Terhadap Perjanjian Bagi Hasil Pengolahan Sawah (Ronparon). Jenis penelitian ini adalah penelitian lapangan (fleld reseach) yaitu mengumpulkan data yang dilakukan dengan penelitian di lokasi terjadinya trasaksi. Dalam penelitian ini menggunakan metode observasi, wawancara, survai metode analisis dan dokumentasi, guna menjawab permasalahan yang ada. 
Peneliti ini menghasilkan beberapa temuan, pertama perjanjian bagia hasil dengan menerapkan akad mukharabah di Desa Larangan Tokol adalah sah karena perjajian kedua belah pihak sudah jelas dan saling sepakat untuk bagi hasil dalam pengolahan sawanya, sehingga pada saat panen hasil dari panen tersebut dibagi hasil antara pemilik sawah dan petani. Kedua, bagi hasil yang diterapkan adalah berupa tanaman hasil bercacok tanam, hal ini diperbolehkan dalam islam berdasarkan muamalah. Jadi perjanjian bagi hasil pengolahan sawah dengan menggunakan sistem akad mukhabarah itu diperbolehkan.           

Kata kunci: Ronparon, petani, pemilik sawah, akad mukharabah, bagi hasil, muamalah.
",17
"FUNGSI PENGAWASAN DEWAN PENGAWAS SYARIAH (DPS) TERHADAP BANK PEMBIAYAAN RAKYAT SYARIAH
(Studi Kasus Di PT. BPRS SPM PAMEKASAN)
", MOH HAFID," H. Ach. Mus’if,S.HI., M.A",,"ABTRAK

	Skripsi ini adalah hasil penelitian yang berjudul “Fungsi Pengawasan Dewan Pengawas Syariah Terahadap Bank Pembiayaan Rakyat Syariah (Studi kasus BPRS SPM)”  Dewan Pengawas Syariah (DPS)  merupakan salah satu lembaga independen yang ada di bawah naungan DSN-MUI. untuk mengawasi lembaga keuangan syariah. Pengawasan yang dilakukan Dewan Pengawas Syariah terhadap BPRS sangatlah penting. Dikarenakan yang menjamin mutu kesyariahaan BPRS adalah pengawasan DPS itu sendiri.  dengan ini sesuai dengan Undang-Undang republik Indonesia tentang perbankan syariah no. 21 tahun 2008 pasal 32 ialah sebagai berikut: yang pertama DPS wajib dibentuk di bank syarih dan bank konvensional yang mememiliki UUS, yang kedua DPS diangkat oleh pemegang saham atas rekomendasi MUI, yang ketiga DPS bertugas memberi nasehat dan saran kepada direksi serta mengawasi kegitan bank agar sesuai dengan prinsip syariah. 
	penelitian ini bertujuan  untuk mengetahui sejauh mana fungsi pengawan DPS terhadap BPRS SPM yang sudah di atur dalam Undang-Undang RI tahun 2008 tentang perbankan syariah.
	Metode penelitian ini menggunakan pendekatan empiris analitik, yaitu mendekati dan menganalisa masalah yang diteliti dengan observasi lansung, dan selanjutnya melakukan wawancara mengenai norma yang diatur oleh Undang-Undang RI tahun 2008 tentang perbankan syariah. Pendekatan ini digunakan untuk mengetahui sejauhmana fungsi pengawasan DPS tehadap BPRS di lapangan. 
	Maka dari itu, hasil penelitian ini dapat disimpulkan bahwa fungsi pengawasan yang dilakukan DPS terhadap BPRS SPM ialah memberikan nasehat dan saran kepada direksi pada setiap bulannya, dan dilakukan di akhir bulan. sesuai dengan UU. RI. No. 21 tahun 2008 pasa 32 tentang perbankan syariah, UU. No. 40 tahun 2007 pasal 109 tentan Perseroan Terbatas.

Kata kunci: Fungsi Pengawasan, Dewan Pengawas Syariah, BPRS SPM
",17
“Aplikasi Akad Rahn Dalam Penyelesaian Sengketa Pembiayaan Mudharabah yang Bermasalah” (Studi Kasus di BMT Sidogiri Cabang Bangkalan), RIJAL DHOMIRI," Ach. Mus’if, S.HI., MA.",,"ABSTRAK
	Skripsi ini adalah hasil penelitian yang berjudul “Aplikasi Akad Rahn Dalam Penyelesaian Sengketa Pembiayaan Mudharabah yang Bermasalah” (Studi Kasus di BMT Sidogiri Cabang Bangkalan). Pembiayaan mudharabah merupakan salah satu produk yang ditawarkan oleh BMT Sidogiri Cabang Bangkalan. Pada prinsipnya pembiayaan mudharabah tidak ada jaminan. jaminan bertujuan untuk mengantisipasi nasabah melakukan penyimpangan. Adanya jaminan berdasarkan Fatwa MUI-DSN No. 07/DSN-MUI/IV/2000 yang menjelaskan diperbolehkannya jaminan pada pembiayaan mudharabah. Jika ada permasalahan dalam pembiayaan mudharabah, BMT Sidogiri akan menerapkan akad rahn pada jaminannya. Ketika pembiayaan mudharabah tidak ada jaminan dan mengalami permasalahan, maka BMT Sidogiri akan menerapkan akadrahn dalam menyelesaikannya. Akan tetapi aplikasi akad rahnnya berbeda dengan pembiayaan mudharabah yang ada jaminannya. 
	Tujuan dari penelitian ini dilakukan untuk menggambarkan langkah-langkah yang dilakukan BMT Sidogiri Cabang Bangkalan dalam menyelesaikan sengketa pembiayaan mudharabah yang bermasalah. Dan juga memaparkan tentang aplikasi akad rahn dalam penyelesaian pembiayaan mudharabah yang bermasalah yang dilakukan oleh BMT Sidogiri Cabang Bangkalan. 
	Metode penelitian ini  menggunakan penelitian lapangan (field resech). Sedangkan teknik analisis datanya menggunakan teknik analisis deskriptif kualitatif. Hasil dari penelitian ini adalah adanya jaminan merupakan langkah pencegahan resiko kerugian dari pihak BMT Sidogiri Cabang Bangkalan. Langkah restrukturisasi juga merupakan cara untuk meminimalisir kerugian yaitu dengan langkah penyehatan seperti penjadwalan kembali (rescheduling), persyaratan kembali (reconditioning) dan penataan kembali (restructuring). Aplikasi akad rahn akan diterapkan oleh BMT Sidogiri Cabang Bangkalan setelah melakukan langkah restrukturisasi dalam menyelesaikan pembiayaan mudharabah yang bermasalah. Dan pelelangan barang jaminan merupakan langkah akhir dari aplikasi akad rahn tersebut.

Kata kunci : akad rahn, pembiayaan mudharabah, penyelesaian sengketa.
",17
